dilution,day_0,day_1,day_2,day_3
10-1,0,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown
10-3,0,160,overgrown,overgrown
10-4,0,56,overgrown,overgrown
10-5,0,5,43,32
10-6,0,0,0,8
10-7,0,0,0,0
