species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
ct,M0,115.78,-5,50|53|49,,506666666.6666667,20816659.994661327,506666666.6666667,1.0
ct,M0,120.9,-5,40|43|46,,430000000.0,30000000.00000003,430000000.0,1.0
ct,M0,139.56,-5,46|42|43,,436666666.6666667,20816659.994661327,436666666.6666667,1.0
ct,M0,146.25,-5,31|26|46,,343333333.3333333,104083299.97330666,343333333.3333333,1.0
ct,M0,163.37,-5,47|42|51,,466666666.6666667,45092497.52822894,466666666.6666667,1.0
ct,M0,170.08,-5,26|37|27,,300000000.0,60827625.30298217,300000000.0,1.0
ct,M0,187.33,-5,18|15|12,,149999999.99999997,29999999.999999985,149999999.99999997,1.0
ct,M0,194.14,-5,15|29|19,,209999999.99999997,72111025.50927976,209999999.99999997,1.0
ct,M0,212.3,-5,20|24|25,,230000000.0,26457513.110645924,230000000.0,1.0
ct,M0,238.6,-5,13|12|22,,156666666.66666666,55075705.47286102,156666666.66666666,1.0
ct,M0,262.32,-4,81|94|100,,91666666.66666667,9712534.85622231,91666666.66666667,1.0
ct,M0,287.45,-5,14|14|13,,136666666.66666666,5773502.691896258,136666666.66666666,1.0
ct,M0,313.32,-5,18|18|22,,193333333.3333333,23094010.767585047,193333333.3333333,1.0
ct,M0,336.77,-5,12|14|16,,140000000.0,19999999.999999985,140000000.0,1.0
ct,M0,355.28,-5,14|18|19,,169999999.99999997,26457513.11064589,169999999.99999997,1.0
ct,M0,380.4,-5,30|26|16,,239999999.99999997,72111025.50927977,239999999.99999997,1.0
ct,M0,475.87,-5,15|11|12,,126666666.66666666,20816659.99466131,126666666.66666666,1.0
