parameter,value
v1_1,0.8
v1_2,0.8
v2_1,0.18
v2_2,0.18
v2_3,0.2
K1_1,1
K1_2,0.2
K2_1,0.02
K2_2,0.02
K2_3,1
q1_1,0.035
q1_2,0.035
q1_3,0.0035
q2_1,0.038
q2_2,0.038
q2_3,0.25
D,0.15
M1,7.5
M2,5
M3,10000
N01,0.04
N02,0.04
a1_3,1
a2_2,1
