dilution,day_0,day_1,day_2,day_3
10-1,0,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown
10-3,0,123,overgrown,overgrown
10-4,0,15,overgrown,overgrown
10-5,0,1,31,14
10-6,0,0,4,3
10-7,0,0,0,0
