dilution,day_0,day_1,day_2,day_3
10-1,0,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown
10-3,0,overgrown,overgrown,overgrown
10-4,0,23,overgrown,overgrown
10-5,0,2,35,70
10-6,0,3,6,7
10-7,0,0,0,0
