dilution,day_0,day_1,day_2,day_3
10-1,0,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown
10-3,0,184,overgrown,overgrown
10-4,0,24,101,208
10-5,0,1,7,31
10-6,0,0,1,1
10-7,0,0,0,0
