dilution,day_0,day_1,day_2,day_3,day_4,day_5
10-1,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-3,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-4,0,overgrown,overgrown,overgrown,44|55|75,overgrown
10-5,0,13|19|15,32|38|27,24|14|23,0,15|12|10
10-6,0,0,0,0,0,0
10-7,0|0|0,0,0,0,0,0
