time,OD,well,strain,carbon_source,growth_rates
0:29:10,0.0985,D1,at,36,-0.008048289738430534
0:59:10,0.0979,D1,at,36,-0.02828282828282825
1:29:10,0.096,D1,at,36,-0.021739130434782657
1:59:10,0.096,D1,at,36,0.007223942208462252
2:29:10,0.0964,D1,at,36,0.009249743062692682
2:59:10,0.0969,D1,at,36,0.01635991820040904
3:29:10,0.0981,D1,at,36,0.022244691607684604
3:59:10,0.0989,D1,at,36,0.021999999999999936
4:29:10,0.1002,D1,at,36,0.019782393669633906
4:59:10,0.1009,D1,at,36,0.01470588235294119
5:29:10,0.1014,D1,at,36,0.014619883040935686
5:59:10,0.1024,D1,at,36,0.02608695652173921
6:29:10,0.1035,D1,at,36,0.031339031339031445
6:59:10,0.1048,D1,at,36,0.02996254681647935
7:29:10,0.1071,D1,at,36,0.029493087557603635
7:59:10,0.1093,D1,at,36,0.06909090909090905
8:29:10,0.1137,D1,at,36,0.08096468561584846
8:59:10,0.1176,D1,at,36,0.0494137353433836
9:29:10,0.12,D1,at,36,0.054098360655737664
9:59:10,0.1246,D1,at,36,0.10079365079365071
10:29:10,0.1328,D1,at,36,0.11507052709725306
10:59:10,0.1406,D1,at,36,0.11731448763250887
11:29:10,0.1573,D1,at,36,0.18440185062789166
11:59:10,0.168,D1,at,36,0.08146399055489968
12:29:10,0.1634,D1,at,36,0.03331314354936405
12:59:10,0.1735,D1,at,36,0.14579759862778727
13:29:10,0.187,D1,at,36,0.18363064008394547
13:59:10,0.2045,D1,at,36,0.20914721295855165
14:29:10,0.2216,D1,at,36,0.13134328358208955
14:59:10,0.2349,D1,at,36,0.02866638969671798
15:29:10,0.2391,D1,at,36,0.016155758077879098
15:59:10,0.2286,D1,at,36,0.09811937857726909
16:29:10,0.2559,D1,at,36,0.009796533534287834
16:59:10,0.235,D1,at,36,0.07524271844660174
17:29:10,0.2799,D1,at,36,0.07464788732394376
17:59:10,0.2722,D1,at,36,-0.03166915052160935
18:29:10,0.2742,D1,at,36,0.02794918330308524
18:59:10,0.2775,D1,at,36,-0.01992031872509962
19:29:10,0.2783,D1,at,36,0.02518518518518508
19:59:10,0.2807,D1,at,36,0.04559915164369024
20:29:10,0.2901,D1,at,36,0.032873806998939666
20:59:10,0.3057,D1,at,36,0.047227926078028865
21:29:10,0.308,D1,at,36,0.06673407482305353
21:59:10,0.3304,D1,at,36,0.07820512820512814
22:29:10,0.3463,D1,at,36,0.11896605418872629
22:59:10,0.3652,D1,at,36,0.15019988577955448
23:29:10,0.3859,D1,at,36,0.10382659887610383
23:59:10,0.4144,D1,at,36,0.12107969151670958
24:29:10,0.4327,D1,at,36,0.10765209125475286
24:59:10,0.4436,D1,at,36,0.0665438636886944
25:29:10,0.4706,D1,at,36,0.06537691794529682
25:59:10,0.4766,D1,at,36,0.07806771619581628
26:29:10,0.4953,D1,at,36,0.09569870343692115
26:59:10,0.5165,D1,at,36,0.06644453155625253
27:29:10,0.54,D1,at,36,0.04713351288957284
27:59:10,0.5524,D1,at,36,0.06639236955302034
28:29:10,0.5737,D1,at,36,0.05330452007923658
28:59:10,0.5975,D1,at,36,0.06131490342016651
29:29:10,0.6024,D1,at,36,0.0613663332768266
29:59:10,0.6348,D1,at,36,0.04029975020815987
30:29:10,0.6443,D1,at,36,0.03549910438039396
30:59:10,0.6363,D1,at,36,0.034549252771975056
31:29:10,0.6614,D1,at,36,0.03052234109502845
31:59:10,0.6513,D1,at,36,0.007791803023219406
32:29:10,0.6588,D1,at,36,0.007024664377146345
32:59:10,0.6541,D1,at,36,0.026462395543175494
33:29:10,0.6708,D1,at,36,0.037707161319750715
33:59:10,0.6759,D1,at,36,0.01997019374068566
34:29:10,0.6816,D1,at,36,0.007599463567277594
34:59:10,0.6836,D1,at,36,0.0204111817778434
35:29:10,0.689,D1,at,36,0.015768725361366507
35:59:10,0.6936,D1,at,36,0.012520017469791894
36:29:10,0.6922,D1,at,36,0.023792357606344728
36:59:10,0.7044,D1,at,36,0.011373329542223495
37:29:10,0.7048,D1,at,36,0.013970064148253627
37:59:10,0.7117,D1,at,36,0.016124509254066118
38:29:10,0.7087,D1,at,36,0.01640953716690048
38:59:10,0.7237,D1,at,36,0.022623810180714694
39:29:10,0.7286,D1,at,36,0.007540444200712997
39:59:10,0.7201,D1,at,36,0.012732749178532276
40:29:10,0.7395,D1,at,36,0.01570326248815479
40:59:10,0.7393,D1,at,36,0.005121293800539118
41:29:10,0.7421,D1,at,36,0.018720538720538752
41:59:10,0.754,D1,at,36,0.024606429421881133
42:29:10,0.7542,D1,at,36,0.01248193404283268
42:59:10,0.7661,D1,at,36,0.015155474261823955
43:29:10,0.7738,D1,at,36,0.00905914326387991
43:59:10,0.7751,D1,at,36,0.004531330916623443
44:29:10,0.7803,D1,at,36,0.002061324400927655
44:59:10,0.7791,D1,at,36,0.016666666666666694
45:29:10,0.786,D1,at,36,0.015333924724369534
45:59:10,0.7948,D1,at,36,0.013738710087775132
46:29:10,0.8002,D1,at,36,0.02512814101762721
46:59:10,0.7974,D1,at,36,0.0035971223021581526
47:29:10,0.8041,D1,at,36,0.006228201295465875
47:59:10,0.8127,D1,at,36,0.021696252465483307
48:29:10,0.8197,D1,at,36,-0.0025597269624573265
48:59:10,0.8133,D1,at,36,-0.0017303176368805683
49:29:10,0.8228,D1,at,36,0.003907203907203884
49:59:10,0.8191,D1,at,36,0.010341007017111995
50:29:10,0.8306,D1,at,36,0.014261542180323945
50:59:10,0.83,D1,at,36,-0.002548234437568245
51:29:10,0.8374,D1,at,36,0.005694898824669728
51:59:10,0.8343,D1,at,36,0.013030888030887935
52:29:10,0.8504,D1,at,36,0.017820834828369842
52:59:10,0.8464,D1,at,36,0.011022875429655193
53:29:10,0.8524,D1,at,36,0.006742370475514594
53:59:10,0.8519,D1,at,36,0.002825523899222931
54:29:10,0.8514,D1,at,36,0.00908233073838161
54:59:10,0.8667,D1,at,36,0.019367635048419027
55:29:10,0.8671,D1,at,36,0.003933364183248577
55:59:10,0.8655,D1,at,36,0.004183614177803658
56:29:10,0.8801,D1,at,36,0.009331797235023037
56:59:10,0.8804,D1,at,36,0.012664057103384767
57:29:10,0.8841,D1,at,36,0.017519908987485743
57:59:10,0.8915,D1,at,36,0.004751131221719436
58:29:10,0.8909,D1,at,36,-0.0023777173913043376
58:59:10,0.8944,D1,at,36,0.008957931738292345
