time,OD,well,strain,carbon_source
12:59:10,0.124,A1,oa,0
13:29:10,0.129,A1,oa,0
13:59:10,0.136,A1,oa,0
14:29:10,0.143,A1,oa,0
14:59:10,0.151,A1,oa,0
15:29:10,0.159,A1,oa,0
15:59:10,0.167,A1,oa,0
16:29:10,0.174,A1,oa,0
16:59:10,0.183,A1,oa,0
17:29:10,0.188,A1,oa,0
17:59:10,0.197,A1,oa,0
18:29:10,0.209,A1,oa,0
18:59:10,0.222,A1,oa,0
19:29:10,0.239,A1,oa,0
19:59:10,0.257,A1,oa,0
20:29:10,0.276,A1,oa,0
20:59:10,0.298,A1,oa,0
21:29:10,0.329,A1,oa,0
21:59:10,0.369,A1,oa,0
22:29:10,0.426,A1,oa,0
22:59:10,0.45,A1,oa,0
23:29:10,0.523,A1,oa,0
23:59:10,0.61,A1,oa,0
24:29:10,0.661,A1,oa,0
24:59:10,0.69,A1,oa,0
25:29:10,0.703,A1,oa,0
25:59:10,0.72,A1,oa,0
26:29:10,0.738,A1,oa,0
26:59:10,0.75,A1,oa,0
27:29:10,0.769,A1,oa,0
27:59:10,0.781,A1,oa,0
28:29:10,0.796,A1,oa,0
28:59:10,0.804,A1,oa,0
29:29:10,0.833,A1,oa,0
29:59:10,0.84,A1,oa,0
30:29:10,0.857,A1,oa,0
30:59:10,0.868,A1,oa,0
31:29:10,0.883,A1,oa,0
31:59:10,0.9,A1,oa,0
32:29:10,0.919,A1,oa,0
32:59:10,0.935,A1,oa,0
33:29:10,0.95,A1,oa,0
33:59:10,0.959,A1,oa,0
34:29:10,0.971,A1,oa,0
34:59:10,0.974,A1,oa,0
35:29:10,0.986,A1,oa,0
35:59:10,0.993,A1,oa,0
36:29:10,1.001,A1,oa,0
36:59:10,1.011,A1,oa,0
37:29:10,1.021,A1,oa,0
37:59:10,1.032,A1,oa,0
38:29:10,1.039,A1,oa,0
38:59:10,1.049,A1,oa,0
39:29:10,1.056,A1,oa,0
39:59:10,1.063,A1,oa,0
40:29:10,1.07,A1,oa,0
40:59:10,1.086,A1,oa,0
41:29:10,1.11,A1,oa,0
41:59:10,1.113,A1,oa,0
42:29:10,1.129,A1,oa,0
42:59:10,1.131,A1,oa,0
43:29:10,1.131,A1,oa,0
43:59:10,1.132,A1,oa,0
44:29:10,1.129,A1,oa,0
44:59:10,1.139,A1,oa,0
45:29:10,1.136,A1,oa,0
45:59:10,1.152,A1,oa,0
46:29:10,1.138,A1,oa,0
46:59:10,1.131,A1,oa,0
47:29:10,1.117,A1,oa,0
47:59:10,1.095,A1,oa,0
48:29:10,1.076,A1,oa,0
48:59:10,1.092,A1,oa,0
49:29:10,1.083,A1,oa,0
49:59:10,1.04,A1,oa,0
50:29:10,1.055,A1,oa,0
50:59:10,1.034,A1,oa,0
51:29:10,1.062,A1,oa,0
51:59:10,1.053,A1,oa,0
52:29:10,1.048,A1,oa,0
52:59:10,1.053,A1,oa,0
53:29:10,1.023,A1,oa,0
53:59:10,1.028,A1,oa,0
54:29:10,1.011,A1,oa,0
54:59:10,1.025,A1,oa,0
55:29:10,1.008,A1,oa,0
55:59:10,1.011,A1,oa,0
56:29:10,0.998,A1,oa,0
56:59:10,0.997,A1,oa,0
57:29:10,0.989,A1,oa,0
57:59:10,1.0,A1,oa,0
58:29:10,0.979,A1,oa,0
58:59:10,0.982,A1,oa,0
59:29:10,0.975,A1,oa,0
59:59:10,0.977,A1,oa,0
60:29:10,0.992,A1,oa,0
60:59:10,1.001,A1,oa,0
61:29:10,0.972,A1,oa,0
61:59:10,0.969,A1,oa,0
62:29:10,0.986,A1,oa,0
62:59:10,0.956,A1,oa,0
63:29:10,0.978,A1,oa,0
63:59:10,0.966,A1,oa,0
64:29:10,0.962,A1,oa,0
64:59:10,0.975,A1,oa,0
65:29:10,0.987,A1,oa,0
65:59:10,0.965,A1,oa,0
66:29:10,0.982,A1,oa,0
66:59:10,0.969,A1,oa,0
67:29:10,0.97,A1,oa,0
67:59:10,0.96,A1,oa,0
68:29:10,0.967,A1,oa,0
68:59:10,0.974,A1,oa,0
69:29:10,0.962,A1,oa,0
69:59:10,0.964,A1,oa,0
70:29:10,0.956,A1,oa,0
70:59:10,0.963,A1,oa,0
71:29:10,0.972,A1,oa,0
71:59:10,0.96,A1,oa,0
72:29:10,0.957,A1,oa,0
72:59:10,0.954,A1,oa,0
73:29:10,0.952,A1,oa,0
73:59:10,0.948,A1,oa,0
74:29:10,0.949,A1,oa,0
74:59:10,0.953,A1,oa,0
75:29:10,0.942,A1,oa,0
0:29:10,0.1039,A2,at,0
0:59:10,0.1037,A2,at,0
1:29:10,0.103,A2,at,0
1:59:10,0.1022,A2,at,0
2:29:10,0.1018,A2,at,0
2:59:10,0.1012,A2,at,0
3:29:10,0.101,A2,at,0
3:59:10,0.1009,A2,at,0
4:29:10,0.1007,A2,at,0
4:59:10,0.1005,A2,at,0
5:29:10,0.1005,A2,at,0
5:59:10,0.1006,A2,at,0
6:29:10,0.1009,A2,at,0
6:59:10,0.1017,A2,at,0
7:29:10,0.1031,A2,at,0
7:59:10,0.1035,A2,at,0
8:29:10,0.1048,A2,at,0
8:59:10,0.107,A2,at,0
9:29:10,0.1101,A2,at,0
9:59:10,0.1108,A2,at,0
10:29:10,0.1128,A2,at,0
10:59:10,0.1165,A2,at,0
11:29:10,0.1195,A2,at,0
11:59:10,0.1228,A2,at,0
12:29:10,0.1264,A2,at,0
12:59:10,0.131,A2,at,0
13:29:10,0.1358,A2,at,0
13:59:10,0.1411,A2,at,0
14:29:10,0.1504,A2,at,0
14:59:10,0.1614,A2,at,0
15:29:10,0.161,A2,at,0
15:59:10,0.1699,A2,at,0
16:29:10,0.1774,A2,at,0
16:59:10,0.1712,A2,at,0
17:29:10,0.1732,A2,at,0
17:59:10,0.1748,A2,at,0
18:29:10,0.1774,A2,at,0
18:59:10,0.1835,A2,at,0
19:29:10,0.1848,A2,at,0
19:59:10,0.1887,A2,at,0
20:29:10,0.1971,A2,at,0
20:59:10,0.204,A2,at,0
21:29:10,0.212,A2,at,0
21:59:10,0.2137,A2,at,0
22:29:10,0.2197,A2,at,0
22:59:10,0.2321,A2,at,0
23:29:10,0.2406,A2,at,0
23:59:10,0.2557,A2,at,0
24:29:10,0.2682,A2,at,0
24:59:10,0.2705,A2,at,0
25:29:10,0.2637,A2,at,0
25:59:10,0.2683,A2,at,0
26:29:10,0.2653,A2,at,0
26:59:10,0.2698,A2,at,0
27:29:10,0.28,A2,at,0
27:59:10,0.2837,A2,at,0
28:29:10,0.295,A2,at,0
28:59:10,0.2984,A2,at,0
29:29:10,0.3142,A2,at,0
29:59:10,0.334,A2,at,0
30:29:10,0.3393,A2,at,0
30:59:10,0.3717,A2,at,0
31:29:10,0.4065,A2,at,0
31:59:10,0.4403,A2,at,0
32:29:10,0.4632,A2,at,0
32:59:10,0.4793,A2,at,0
33:29:10,0.5106,A2,at,0
33:59:10,0.5219,A2,at,0
34:29:10,0.5581,A2,at,0
34:59:10,0.5707,A2,at,0
35:29:10,0.5772,A2,at,0
35:59:10,0.5978,A2,at,0
36:29:10,0.6115,A2,at,0
36:59:10,0.6205,A2,at,0
37:29:10,0.6223,A2,at,0
37:59:10,0.631,A2,at,0
38:29:10,0.6475,A2,at,0
38:59:10,0.6568,A2,at,0
39:29:10,0.664,A2,at,0
39:59:10,0.6806,A2,at,0
40:29:10,0.6856,A2,at,0
40:59:10,0.6925,A2,at,0
41:29:10,0.6977,A2,at,0
41:59:10,0.7057,A2,at,0
42:29:10,0.715,A2,at,0
42:59:10,0.7199,A2,at,0
43:29:10,0.7338,A2,at,0
43:59:10,0.7352,A2,at,0
44:29:10,0.7382,A2,at,0
44:59:10,0.7424,A2,at,0
45:29:10,0.7588,A2,at,0
45:59:10,0.7569,A2,at,0
46:29:10,0.7674,A2,at,0
46:59:10,0.7755,A2,at,0
47:29:10,0.7711,A2,at,0
47:59:10,0.774,A2,at,0
48:29:10,0.8022,A2,at,0
48:59:10,0.8082,A2,at,0
49:29:10,0.803,A2,at,0
49:59:10,0.818,A2,at,0
50:29:10,0.8206,A2,at,0
50:59:10,0.8273,A2,at,0
51:29:10,0.838,A2,at,0
51:59:10,0.8429,A2,at,0
52:29:10,0.8531,A2,at,0
52:59:10,0.8581,A2,at,0
53:29:10,0.8584,A2,at,0
53:59:10,0.8706,A2,at,0
54:29:10,0.8667,A2,at,0
54:59:10,0.8815,A2,at,0
55:29:10,0.8898,A2,at,0
55:59:10,0.8971,A2,at,0
56:29:10,0.9081,A2,at,0
56:59:10,0.9129,A2,at,0
57:29:10,0.925,A2,at,0
57:59:10,0.9287,A2,at,0
58:29:10,0.9265,A2,at,0
58:59:10,0.9329,A2,at,0
59:29:10,0.9463,A2,at,0
59:59:10,0.9432,A2,at,0
60:29:10,0.9547,A2,at,0
60:59:10,0.9577,A2,at,0
61:29:10,0.9681,A2,at,0
61:59:10,0.9742,A2,at,0
62:29:10,0.9719,A2,at,0
62:59:10,0.9795,A2,at,0
63:29:10,0.9837,A2,at,0
63:59:10,0.9875,A2,at,0
64:29:10,0.9899,A2,at,0
64:59:10,1.0122,A2,at,0
65:29:10,1.0083,A2,at,0
65:59:10,1.0085,A2,at,0
66:29:10,1.0065,A2,at,0
66:59:10,1.0104,A2,at,0
67:29:10,1.0199,A2,at,0
67:59:10,1.0077,A2,at,0
68:29:10,1.0188,A2,at,0
68:59:10,1.0175,A2,at,0
69:29:10,1.0179,A2,at,0
69:59:10,1.0128,A2,at,0
70:29:10,1.0271,A2,at,0
70:59:10,1.018,A2,at,0
71:29:10,1.0189,A2,at,0
71:59:10,1.0152,A2,at,0
72:29:10,0.9991,A2,at,0
72:59:10,0.9989,A2,at,0
73:29:10,0.9975,A2,at,0
73:59:10,1.0104,A2,at,0
74:29:10,0.9904,A2,at,0
74:59:10,0.9846,A2,at,0
75:29:10,0.9771,A2,at,0
Unnamed: 152,,A2,at,0
0:29:10,0.093,A2,oa,0
0:59:10,0.093,A2,oa,0
1:29:10,0.094,A2,oa,0
1:59:10,0.093,A2,oa,0
2:29:10,0.092,A2,oa,0
2:59:10,0.092,A2,oa,0
3:29:10,0.091,A2,oa,0
3:59:10,0.091,A2,oa,0
4:29:10,0.091,A2,oa,0
4:59:10,0.092,A2,oa,0
5:29:10,0.093,A2,oa,0
5:59:10,0.095,A2,oa,0
6:29:10,0.099,A2,oa,0
6:59:10,0.1,A2,oa,0
7:29:10,0.102,A2,oa,0
7:59:10,0.103,A2,oa,0
8:29:10,0.107,A2,oa,0
8:59:10,0.108,A2,oa,0
9:29:10,0.108,A2,oa,0
9:59:10,0.112,A2,oa,0
10:29:10,0.111,A2,oa,0
10:59:10,0.107,A2,oa,0
11:29:10,0.112,A2,oa,0
11:59:10,0.116,A2,oa,0
12:29:10,0.12,A2,oa,0
12:59:10,0.125,A2,oa,0
13:29:10,0.13,A2,oa,0
13:59:10,0.136,A2,oa,0
14:29:10,0.142,A2,oa,0
14:59:10,0.149,A2,oa,0
15:29:10,0.158,A2,oa,0
15:59:10,0.168,A2,oa,0
16:29:10,0.177,A2,oa,0
16:59:10,0.189,A2,oa,0
17:29:10,0.202,A2,oa,0
17:59:10,0.217,A2,oa,0
18:29:10,0.23,A2,oa,0
18:59:10,0.229,A2,oa,0
19:29:10,0.235,A2,oa,0
19:59:10,0.248,A2,oa,0
20:29:10,0.268,A2,oa,0
20:59:10,0.294,A2,oa,0
21:29:10,0.335,A2,oa,0
21:59:10,0.381,A2,oa,0
22:29:10,0.406,A2,oa,0
22:59:10,0.441,A2,oa,0
23:29:10,0.533,A2,oa,0
23:59:10,0.606,A2,oa,0
24:29:10,0.657,A2,oa,0
24:59:10,0.685,A2,oa,0
25:29:10,0.695,A2,oa,0
25:59:10,0.708,A2,oa,0
26:29:10,0.725,A2,oa,0
26:59:10,0.734,A2,oa,0
27:29:10,0.753,A2,oa,0
27:59:10,0.765,A2,oa,0
28:29:10,0.78,A2,oa,0
28:59:10,0.788,A2,oa,0
29:29:10,0.819,A2,oa,0
29:59:10,0.828,A2,oa,0
30:29:10,0.846,A2,oa,0
30:59:10,0.859,A2,oa,0
31:29:10,0.875,A2,oa,0
31:59:10,0.893,A2,oa,0
32:29:10,0.913,A2,oa,0
32:59:10,0.93,A2,oa,0
33:29:10,0.946,A2,oa,0
33:59:10,0.958,A2,oa,0
34:29:10,0.972,A2,oa,0
34:59:10,0.976,A2,oa,0
35:29:10,0.991,A2,oa,0
35:59:10,0.999,A2,oa,0
36:29:10,1.008,A2,oa,0
36:59:10,1.02,A2,oa,0
37:29:10,1.031,A2,oa,0
37:59:10,1.045,A2,oa,0
38:29:10,1.052,A2,oa,0
38:59:10,1.064,A2,oa,0
39:29:10,1.069,A2,oa,0
39:59:10,1.081,A2,oa,0
40:29:10,1.092,A2,oa,0
40:59:10,1.132,A2,oa,0
41:29:10,1.154,A2,oa,0
41:59:10,1.16,A2,oa,0
42:29:10,1.212,A2,oa,0
42:59:10,1.215,A2,oa,0
43:29:10,1.207,A2,oa,0
43:59:10,1.206,A2,oa,0
44:29:10,1.192,A2,oa,0
44:59:10,1.212,A2,oa,0
45:29:10,1.198,A2,oa,0
45:59:10,1.206,A2,oa,0
46:29:10,1.17,A2,oa,0
46:59:10,1.15,A2,oa,0
47:29:10,1.129,A2,oa,0
47:59:10,1.106,A2,oa,0
