dilution,day_0,day_1,day_2,day_3,day_4,day_5
10-1,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-3,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-4,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-5,0,42|38|58,40|44|45,21|18|20,9|8|9,53|63|73
10-6,0,0,0,0,0,0
10-7,0|0|0,0,0,0,0,0
