dilution,day_0,day_1,day_2,day_3,day_4,day_5
10-1,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-3,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-4,0,overgrown,overgrown,overgrown,70|80|85,overgrown
10-5,0,overgrown,90|61|72,42|48|50,0,62|76|85
10-6,0,12|12|13,0,0,0,0
10-7,0|0|0,0,0,0,0,0
