od,raw_1,raw_2,raw_3
6.9,12,12,12
2.3,118,111,103
1.3,433,389,376
0.9,1575,1424,1409
0.48,3383,3249,3170
0.29,6144,6036,5991
0.15,8928,8603,8779
0.11,9887,10275,9477
0.04,12361,12382,12297
0.02,13905,14247,14217
0.01,15541,15761,15787
0,14757,14913,14959
