od,raw_1,raw_2,raw_3
6.9,24,23,23
2.3,201,185,181
1.3,657,621,613
0.9,2597,2381,2337
0.48,6011,5670,5590
0.29,11378,10984,10499
0.15,16669,16298,16864
0.11,19274,19223,18910
0.04,25418,25343,25255
0.02,26687,26495,26500
0.01,28254,27740,27776
0,28710,28747,28725
