od,raw_1,raw_2,raw_3
6.9,17,16,16
2.3,167,145,144
1.3,523,494,481
0.9,1780,1644,1599
0.48,3669,3421,3391
0.29,6429,6294,6310
0.15,9920,9614,9793
0.11,10662,9780,10041
0.04,13833,13857,13981
0.02,15318,15484,15402
0.01,16051,16399,15183
0,15385,15270,15396
