dilution,day_0,day_1,day_2,day_3,day_4
10-1,overgrown,overgrown,overgrown,overgrown,overgrown
10-2,overgrown,overgrown,240,overgrown,overgrown
10-3,156,210,23,overgrown,overgrown
10-4,15,19,0,58,52
10-5,0,1,0,6,8
10-6,0,0,0,0,0
10-7,0,0,0,0,0
