dilution,day_0,day_1,day_2,day_3,day_4
10-1,overgrown,overgrown,overgrown,0,overgrown
10-2,overgrown,overgrown,overgrown,0,overgrown
10-3,overgrown,overgrown,14,0,overgrown
10-4,overgrown,45,0,0,50
10-5,28,8,0,0,6
10-6,1,0,0,0,0
10-7,0,0,0,0,0
