dilution,day_0,day_1,day_2
10-1,0,overgrown,overgrown
10-2,0,overgrown,overgrown
10-3,0,overgrown,overgrown
10-4,0,overgrown,overgrown
10-5,0,36|34|40,overgrown
10-6,0,0,7|7|6
10-7,0,0,0
