dilution,day_0,day_1,day_2
10-1,0,overgrown,overgrown
10-2,0,overgrown,overgrown
10-3,0,overgrown,overgrown
10-4,0,12|20|16,overgrown
10-5,0,0,6|5|4
10-6,0,0,0
10-7,0,0,0
