,exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
16,961.13,0.115590947157041,0.3,12708.953121156275,28.0,0.0,28.0,32.375,28.19000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1587.0,669.0,0.0,941.0,359.0,0.0,588.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1021.19,0.1177801059951886,0.3,12708.953121156275,28.0,0.0,27.8125,32.4375,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1586.0,667.0,0.0,942.0,359.0,0.0,587.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1081.23,0.1115465726243362,0.3,12708.953121156275,28.0,0.0,27.625,32.4375,28.13000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1590.0,672.0,0.0,943.0,360.0,0.0,590.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1141.3,0.1127118405141139,0.3,12708.953121156275,28.0,0.0,27.4375,32.4375,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1584.0,668.0,0.0,936.0,358.0,0.0,592.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1201.36,0.126706554598453,0.3,12708.953121156275,28.0,0.0033999999999969,27.25,32.4375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1588.0,671.0,0.0,951.0,363.0,0.0,595.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1261.4,0.1186112622692169,0.3,12708.953121156275,28.0,0.0239999999999923,27.0,32.375,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1588.0,671.0,0.0,940.0,361.0,0.0,594.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1321.45,0.1077836856133875,0.3,12708.953121156275,28.0,0.0696999999999835,26.8125,32.375,27.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1590.0,672.0,0.0,948.0,362.0,0.0,594.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1381.52,0.1265559159727515,0.3,12708.953121156275,28.0,0.0650999999999919,26.6875,32.3125,27.730000000000015,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1603.0,677.0,0.0,950.0,363.0,0.0,596.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1441.6,0.1187589198326996,0.3,12708.953121156275,28.0,0.1022999999999925,26.5,32.25,27.730000000000015,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1600.0,675.0,0.0,959.0,367.0,0.0,595.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1501.64,0.1294265385832088,0.3,12708.953121156275,28.0,0.1297999999999876,26.4375,32.25,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1599.0,678.0,0.0,955.0,368.0,0.0,596.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
