dilution,day_0,day_1,day_2,day_3,day_4
10-1,overgrown,overgrown,overgrown,overgrown,overgrown
10-2,overgrown,overgrown,overgrown,overgrown,overgrown
10-3,overgrown,8,21,overgrown,overgrown
10-4,53,0,0,overgrown,21
10-5,4,0,0,24,4
10-6,0,0,0,0,0
10-7,0,0,0,0,0
