dilution,day_0,day_1,day_2
10-1,overgrown,overgrown,overgrown
10-2,overgrown,overgrown,15
10-3,overgrown,24,0
10-4,overgrown,0,0
10-5,28,0,0
10-6,1,0,0
10-7,0,0,0
