species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
oa,M5,452.9,-4,7|9|10|6|11|15,,9666666.666666666,3204163.957519444,146333333.33333328,0.06605922551252849
oa,M5,475.87,-4,7|7|6,,6666666.666666667,577350.2691896257,203333333.3333333,0.03278688524590164
oa,M5,501.81,-4,9|15|4,,9333333.333333334,5507570.547286102,155999999.99999997,0.059829059829059845
oa,M5,524.35,-4,8|9|11,,9333333.333333334,1527525.2316519467,221833333.33333334,0.042073628850488355
oa,M5,552.21,-4,7|8|12|9,,9000000.0,2160246.8994692867,238999999.99999997,0.037656903765690385
oa,M5,575.26,-4,8|6|7,,7000000.0,1000000.0,139500000.0,0.05017921146953405
oa,M5,597.83,-4,10|7|10|9,,9000000.0,1414213.562373095,181499999.99999997,0.04958677685950414
oa,M5,619.0,-4,4|4|6|8,,5500000.0,1914854.2155126762,143000000.0,0.038461538461538464
