dilution,day_0,day_1,day_2,day_3,day_4,day_5,day_6
10-1,0,overgrown,overgrown,overgrown,overgrown,overgrown,overgrown
10-2,0,overgrown,240,overgrown,overgrown,overgrown,overgrown
10-3,0,210,23,overgrown,overgrown,overgrown,overgrown
10-4,0,19,0,58,52,62,58
10-5,0,1,0,6,8,7,6
10-6,0,0,0,0,0,0,0
10-7,0,0,0,0,0,0,0
