od,raw_1,raw_2,raw_3
6.9,17,18,17
2.3,159,150,146
1.3,541,499,486
0.9,2004,1886,1851
0.48,4865,4676,4581
0.29,7942,7926,7817
0.15,12673,12610,11961
0.11,11987,12076,11600
0.04,18207,18528,18579
0.02,19081,19052,19131
0.01,21243,21292,21291
0,21908,21961,21944
