exp_time,od_measured,raw_FP1_emit1,raw_FP2_emit1,raw_FP3_emit1,reactor
3.888888888888889e-05,1.428051334743941,1148.0,22417.999999999996,9967.999999999998,M0
0.016725,0.9802117138582034,1185.9999999999993,23156.0,10147.999999999996,M0
0.03340833333333333,0.6017261694749969,1205.9999999999986,23400.0,10192.999999999998,M0
0.05009444444444445,0.27994996858345544,1189.9999999999982,22910.0,10002.999999999998,M0
0.06677777777777778,-0.007814425946925496,1185.9999999999986,23099.0,9993.999999999998,M0
0.08345833333333333,-0.25560512086219944,1199.9999999999986,23294.0,10135.999999999996,M0
0.10013611111111112,-0.22418312104510463,1205.9999999999993,23197.000000000004,10073.999999999998,M0
0.116825,-0.18411641342937557,1243.9999999999993,23865.0,10151.999999999996,M0
0.1335111111111111,-0.1420935549018516,1240.999999999999,23913.0,10316.999999999996,M0
0.15018888888888887,-0.09864878312045633,1244.9999999999998,23871.0,10270.999999999996,M0
0.16686944444444446,-0.05081073351574972,1253.9999999999986,23959.0,10307.999999999996,M0
0.1835527777777778,-0.006357440231390399,1268.9999999999984,24567.0,10541.999999999996,M0
0.20024166666666668,0.038961663071106045,1274.9999999999989,24657.0,10651.0,M0
0.21691666666666665,0.08173873990275737,1301.9999999999989,25068.0,10840.0,M0
0.23360555555555557,0.12827098002308546,1291.9999999999984,25106.0,10736.999999999998,M0
0.25029444444444443,0.16514453380662886,1299.999999999999,25058.0,10859.0,M0
0.2669777777777778,0.2019912730448219,1306.9999999999989,25302.0,10876.999999999996,M0
0.2836666666666667,0.23175917549453473,1326.9999999999984,25359.999999999996,11026.999999999996,M0
0.30035,0.2625179542031404,1334.999999999999,26258.0,11194.999999999998,M0
0.3170416666666666,0.28927477691251724,1334.9999999999986,25828.0,11196.0,M0
0.33371944444444446,0.3177280899743984,1350.9999999999989,26404.0,11401.999999999998,M0
0.3504,0.3439244841727067,1357.0,26413.000000000004,11360.0,M0
0.3670777777777778,0.37053279592277377,1363.0,26502.0,11413.999999999998,M0
0.3837555555555555,0.3942595542477001,1362.9999999999982,26661.000000000004,11280.0,M0
0.40044166666666664,0.42126253809060543,1361.0,26417.0,11357.999999999996,M0
0.4171194444444445,0.45284729412194835,1403.9999999999986,27208.0,11737.0,M0
0.4338,0.4825116333784152,1360.9999999999995,26566.0,11483.0,M0
0.4504888888888889,0.5134944967394688,1378.9999999999989,26986.999999999996,11469.0,M0
0.4671666666666666,0.541863493575736,1410.9999999999995,27812.999999999996,12026.999999999996,M0
0.4838555555555556,0.5703733667952591,1431.9999999999982,28137.0,11908.999999999996,M0
0.5005361111111112,0.5990556160175835,1413.9999999999984,27728.000000000007,11965.999999999996,M0
0.517225,0.6303064885973129,1447.9999999999995,28752.0,12344.999999999996,M0
0.5339111111111111,0.6609212801960531,1461.9999999999986,28565.999999999996,12331.999999999998,M0
0.5505916666666667,0.6945227242140923,1467.9999999999993,29007.000000000004,12357.999999999996,M0
0.5672694444444445,0.7278730545804422,1445.9999999999995,28965.999999999993,12219.999999999996,M0
0.5839583333333334,0.7553048436219463,1478.9999999999989,29811.000000000007,12355.999999999996,M0
0.60065,0.7805591490975345,1484.9999999999984,29251.000000000004,12299.999999999998,M0
0.6173277777777778,0.8006101931258804,1477.999999999999,29517.0,12653.999999999995,M0
0.6340083333333333,0.8307710531628025,1494.9999999999989,29949.999999999996,12607.999999999995,M0
0.6506861111111111,0.8627751464510425,1541.0,30723.0,13015.0,M0
0.6673666666666667,0.8934843824124421,1543.999999999999,31224.999999999996,13083.0,M0
0.6840444444444445,0.9221916457789803,1498.9999999999995,30061.0,12817.0,M0
0.7007305555555555,0.9549938528525139,1555.999999999999,31010.0,12841.999999999998,M0
0.7174194444444445,0.982927295058051,1562.9999999999998,31462.0,13153.999999999996,M0
0.7340972222222223,1.010707918235802,1542.9999999999982,31712.000000000004,13219.999999999998,M0
0.7507777777777778,1.0402033166184488,1584.999999999999,31607.0,13654.999999999995,M0
0.7674666666666667,1.072749520182601,1591.9999999999984,32074.0,13573.0,M0
0.7841444444444445,1.1080530361541392,1617.9999999999998,33341.0,14083.999999999998,M0
0.8008333333333333,1.1382965042015805,1580.9999999999984,31673.0,13453.999999999995,M0
0.8175222222222222,1.1647694980102692,1666.9999999999986,33544.00000000001,14029.0,M0
0.8341999999999999,1.1901045753732333,1593.9999999999984,32280.0,13669.999999999998,M0
0.8508861111111111,1.2123325540715264,1701.9999999999989,34760.0,14312.999999999995,M0
0.8675722222222223,1.2368231890017647,1698.9999999999993,34365.0,14183.999999999996,M0
0.8842583333333334,1.2667958258908811,1699.9999999999986,35001.0,14940.999999999998,M0
0.900938888888889,1.2895498208582374,1697.0,34343.0,14170.0,M0
0.9176222222222222,1.3173763639101352,1658.9999999999986,33854.99999999999,14220.999999999998,M0
0.9343,1.3413627376971213,1706.9999999999998,34764.0,14619.0,M0
0.9509888888888889,1.3656190970036448,1761.0,36101.0,15153.0,M0
0.9676750000000001,1.3893639978783412,1719.999999999998,35222.0,14726.0,M0
0.98435,1.4098235933882997,1719.9999999999995,35054.0,14760.0,M0
1.0010305555555556,1.4314178674460116,1730.999999999998,36332.0,15013.999999999996,M0
1.0177055555555554,1.4528577716208169,1766.9999999999989,37012.00000000001,15165.999999999996,M0
1.0343944444444444,1.471441269743206,1770.9999999999995,37574.00000000001,15778.999999999996,M0
1.0510722222222222,1.4808701926628771,1784.999999999999,36552.0,15206.0,M0
1.0677583333333334,1.508500744800859,1810.999999999998,37982.0,15930.0,M0
