species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
ct,M5,238.6,-4,75|75|82,,77333333.33333333,4041451.88432738,487333333.33333325,0.15868673050615598
ct,M5,262.32,-5,10|15|11,,119999999.99999999,26457513.110645894,553333333.3333333,0.21686746987951808
ct,M5,287.45,-5,11|10|15,,119999999.99999999,26457513.110645894,313333333.3333333,0.3829787234042553
ct,M5,313.32,-5,12|12|12|14,,125000000.0,10000000.0,204666666.6666667,0.6107491856677524
ct,M5,336.77,-5,7|11|12|15,,112500000.0,33040379.335998338,135500000.0,0.8302583025830258
ct,M5,355.28,-5,16|13|21|17,,167500000.0,33040379.33599835,180250000.0,0.9292649098474342
ct,M5,380.4,-5,21|29|19,,229999999.99999997,52915026.22129179,242666666.66666663,0.9478021978021979
