species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
ct,M5,115.78,-5,23|26|24,,243333333.33333334,15275252.316519465,1810000000.0,0.13443830570902396
ct,M5,120.9,-5,20|19|22,,203333333.3333333,15275252.316519482,1370000000.0,0.1484184914841849
ct,M5,139.56,-5,16|31|24,,236666666.66666663,75055534.99465133,1503333333.3333335,0.15742793791574275
ct,M5,146.25,-5,10|7|5,,73333333.33333333,25166114.784235828,740000000.0,0.09909909909909909
ct,M5,163.37,-5,17|15|21,,176666666.66666666,30550504.63303895,1443333333.3333335,0.12240184757505772
ct,M5,170.08,-5,10|8|9,,89999999.99999999,10000000.0,890000000.0,0.10112359550561796
ct,M5,187.33,-5,8|8|15,,103333333.33333331,40414518.843273796,1236666666.6666665,0.08355795148247978
ct,M5,194.14,-5,17|11|9,,123333333.33333331,41633319.98932264,1656666666.6666665,0.0744466800804829
ct,M5,212.3,-5,5|11|11,,90000000.0,34641016.15137755,1023333333.3333334,0.08794788273615635
ct,M5,238.6,-4,75|75|82,,77333333.33333333,4041451.88432738,487333333.33333325,0.15868673050615598
ct,M5,262.32,-5,10|15|11,,119999999.99999999,26457513.110645894,553333333.3333333,0.21686746987951808
ct,M5,287.45,-5,11|10|15,,119999999.99999999,26457513.110645894,313333333.3333333,0.3829787234042553
ct,M5,313.32,-5,12|12|12|14,,125000000.0,10000000.0,204666666.6666667,0.6107491856677524
ct,M5,336.77,-5,7|11|12|15,,112500000.0,33040379.335998338,135500000.0,0.8302583025830258
ct,M5,355.28,-5,16|13|21|17,,167500000.0,33040379.33599835,180250000.0,0.9292649098474342
ct,M5,380.4,-5,21|29|19,,229999999.99999997,52915026.22129179,242666666.66666663,0.9478021978021979
ct,M5,475.87,-5,10|16|15,,136666666.66666663,32145502.536643174,136666666.66666663,1.0
