dilution,day_0,day_1,day_2,day_3,day_4,day_5
10-1,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-3,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-4,0,overgrown,overgrown,overgrown,overgrown,overgrown
10-5,0,overgrown,32|40|27,37|24|26,16|10|10,overgrown
10-6,0,8|8|10,0,0,0,8|8|8
10-7,0|0|0,0,0,0,0,0
