project,exp_ID,linegroup,Experimenter,Experiment description,Date,Device,Temperature,Shaking,CO2,species,carbon_source,cs_conc,base_media,inhibitor,inhibitor_conc,comments
240623_growth_phenotyping,240623_growth_phenotyping_ct,240623_growth_phenotyping_ct_A1,Snorre Sulheim,Growth phenotypying experiment with Comamonas testosteroni.,240623,Biotek Synergy 2408,28,Y,N,Comamonas testosteroni,Acetate,45.0,M9 + HMB,antibac,0,
240623_growth_phenotyping,240623_growth_phenotyping_ct,240623_growth_phenotyping_ct_A2,Snorre Sulheim,Growth phenotypying experiment with Comamonas testosteroni.,240623,Biotek Synergy 2408,28,Y,N,Comamonas testosteroni,Acetate,45.0,M9 + HMB,antibac,0,
240623_growth_phenotyping,240623_growth_phenotyping_ct,240623_growth_phenotyping_ct_A3,Snorre Sulheim,Growth phenotypying experiment with Comamonas testosteroni.,240623,Biotek Synergy 2408,28,Y,N,Comamonas testosteroni,Acetate,45.0,M9 + HMB,antibac,0,
