,240623_growth_phenotyping_ct_A1_time,240623_growth_phenotyping_ct_A1_measurement,240623_growth_phenotyping_ct_A2_time,240623_growth_phenotyping_ct_A2_measurement,240623_growth_phenotyping_ct_A3_time,240623_growth_phenotyping_ct_A3_measurement
0,0.4861111111111111,-0.005,0.4861111111111111,-0.001,0.4861111111111111,-0.006
1,0.986111111111111,-0.0046666666666666,0.986111111111111,-0.0006666666666666,0.986111111111111,-0.0056666666666666
2,1.4861111111111112,-0.0043333333333333,1.4861111111111112,0.0006666666666666,1.4861111111111112,-0.0053333333333333
3,1.9861111111111112,-0.004,1.9861111111111112,0.0009999999999999,1.9861111111111112,-0.005
4,2.486111111111111,-0.004,2.486111111111111,0.0009999999999999,2.486111111111111,-0.004
5,2.986111111111111,-0.003,2.986111111111111,0.0009999999999999,2.986111111111111,-0.004
6,3.486111111111111,-0.0026666666666666,3.486111111111111,0.0013333333333333,3.486111111111111,-0.0036666666666666
7,3.986111111111111,-0.0006666666666666,3.986111111111111,0.0023333333333333,3.986111111111111,-0.0026666666666666
8,4.486111111111112,-0.0006666666666666,4.486111111111112,0.0033333333333333,4.486111111111112,-0.0026666666666666
9,4.986111111111112,0.0023333333333333,4.986111111111112,0.0043333333333333,4.986111111111112,-0.0006666666666666
10,5.486111111111112,0.0033333333333333,5.486111111111112,0.0073333333333333,5.486111111111112,0.0013333333333333
11,5.986111111111112,0.0043333333333333,5.986111111111112,0.0103333333333333,5.986111111111112,0.0053333333333333
12,6.486111111111112,0.0073333333333333,6.486111111111112,0.0123333333333333,6.486111111111112,0.0083333333333333
13,6.986111111111112,0.0106666666666666,6.986111111111112,0.0136666666666666,6.986111111111112,0.0076666666666666
14,7.486111111111112,0.0199999999999999,7.486111111111112,0.0219999999999999,7.486111111111112,0.015
15,7.986111111111112,0.0276666666666666,7.986111111111112,0.0316666666666666,7.986111111111112,0.0246666666666666
16,8.48611111111111,0.0379999999999999,8.48611111111111,0.0399999999999999,8.48611111111111,0.03
17,8.98611111111111,0.0559999999999999,8.98611111111111,0.0559999999999999,8.98611111111111,0.046
18,9.48611111111111,0.103,9.48611111111111,0.084,9.48611111111111,0.0609999999999999
19,9.98611111111111,0.1543333333333333,9.98611111111111,0.1443333333333333,9.98611111111111,0.1063333333333333
20,10.48611111111111,0.1753333333333333,10.48611111111111,0.1783333333333333,10.48611111111111,0.1633333333333333
21,10.98611111111111,0.1903333333333333,10.98611111111111,0.2143333333333333,10.98611111111111,0.1903333333333333
22,11.48611111111111,0.2073333333333333,11.48611111111111,0.2343333333333333,11.48611111111111,0.2213333333333333
23,11.98611111111111,0.2303333333333333,11.98611111111111,0.2443333333333333,11.98611111111111,0.2333333333333333
24,12.48611111111111,0.2593333333333333,12.48611111111111,0.2723333333333333,12.48611111111111,0.2583333333333333
25,12.98611111111111,0.2943333333333333,12.98611111111111,0.3303333333333333,12.98611111111111,0.3143333333333333
26,13.48611111111111,0.3303333333333333,13.48611111111111,0.3753333333333333,13.48611111111111,0.3583333333333333
27,13.98611111111111,0.3583333333333333,13.98611111111111,0.4143333333333333,13.98611111111111,0.3883333333333333
28,14.48611111111111,0.4203333333333333,14.48611111111111,0.5223333333333333,14.48611111111111,0.4753333333333334
29,14.98611111111111,0.4356666666666667,14.98611111111111,0.5166666666666666,14.98611111111111,0.4826666666666666
30,15.48611111111111,0.4716666666666667,15.48611111111111,0.5516666666666666,15.48611111111111,0.5196666666666666
31,15.98611111111111,0.4916666666666666,15.98611111111111,0.5596666666666666,15.98611111111111,0.5396666666666666
32,16.48611111111111,0.528,16.48611111111111,0.5830000000000001,16.48611111111111,0.561
33,16.98611111111111,0.6046666666666666,16.98611111111111,0.6446666666666666,16.98611111111111,0.6236666666666666
34,17.48611111111111,0.6656666666666666,17.48611111111111,0.6996666666666667,17.48611111111111,0.6786666666666666
35,17.98611111111111,0.6963333333333334,17.98611111111111,0.7303333333333333,17.98611111111111,0.7073333333333334
36,18.48611111111111,0.7346666666666666,18.48611111111111,0.7596666666666666,18.48611111111111,0.7416666666666666
37,18.98611111111111,0.7956666666666666,18.98611111111111,0.8126666666666666,18.98611111111111,0.7926666666666666
38,19.48611111111111,0.8223333333333334,19.48611111111111,0.8303333333333334,19.48611111111111,0.8093333333333333
39,19.98611111111111,0.8523333333333333,19.98611111111111,0.8503333333333334,19.98611111111111,0.8323333333333334
40,20.48611111111111,0.8943333333333333,20.48611111111111,0.8913333333333333,20.48611111111111,0.8733333333333333
41,20.98611111111111,0.887,20.98611111111111,0.891,20.98611111111111,0.875
42,21.48611111111111,0.9043333333333332,21.48611111111111,0.9083333333333332,21.48611111111111,0.8873333333333333
43,21.98611111111111,0.979,21.98611111111111,0.969,21.98611111111111,0.951
44,22.48611111111111,1.001,22.48611111111111,0.996,22.48611111111111,0.972
45,22.98611111111111,0.986,22.98611111111111,0.989,22.98611111111111,0.968
46,23.48611111111111,1.0336666666666667,23.48611111111111,1.0226666666666668,23.48611111111111,1.0026666666666668
47,23.98611111111111,1.0806666666666669,23.98611111111111,1.0636666666666668,23.98611111111111,1.0396666666666667
48,24.48611111111111,1.0616666666666668,24.48611111111111,1.0546666666666666,24.48611111111111,1.0336666666666667
49,24.98611111111111,1.0876666666666668,24.98611111111111,1.0836666666666668,24.98611111111111,1.0656666666666668
50,25.48611111111111,1.073,25.48611111111111,1.085,25.48611111111111,1.061
51,25.98611111111111,1.163333333333333,25.98611111111111,1.1483333333333334,25.98611111111111,1.1153333333333335
