dilution,day_0,day_1,day_2,day_3
10-1,0,overgrown,overgrown,overgrown
10-2,0,overgrown,overgrown,overgrown
10-3,0,100,overgrown,overgrown
10-4,0,11,93,110
10-5,0,1,17,8
10-6,0,0,2,0
10-7,0,0,0,0
